Group,Description,M,K,N,Cycles,DRAM_Read_Bytes,DRAM_Write_Bytes,MAC_Utilization_Percent,Memory_Stall_Cycles
1_N_Split_GEMV,N_Split_256,1,4096,256,15175.0,264192.0,64.0,0.0,1.0
1_N_Split_GEMV,N_Split_512,1,4096,512,26012.0,526336.0,128.0,0.0,1.0
1_N_Split_GEMV,N_Split_1024,1,4096,1024,47735.0,1050624.0,256.0,0.0,1.0
1_N_Split_GEMV,N_Split_2048,1,4096,2048,91281.0,2101248.0,512.0,0.0,1.0
1_N_Split_GEMV,N_Split_4096,1,4096,4096,178403.0,4202496.0,1024.0,0.0,1.0
1_N_Split_GEMV,N_Split_8192,1,4096,8192,351599.0,8404992.0,2048.0,0.0,1.0
2_K_Split_GEMV,K_Split_64,1,64,4096,2664.0,66048.0,1024.0,82.28,580.0
2_K_Split_GEMV,K_Split_128,1,128,4096,4704.0,131584.0,1024.0,62.71,568.0
2_K_Split_GEMV,K_Split_256,1,256,4096,11358.0,262656.0,1024.0,51.16,1.0
2_K_Split_GEMV,K_Split_512,1,512,4096,22450.0,525312.0,1024.0,40.12,1.0
2_K_Split_GEMV,K_Split_1024,1,1024,4096,44716.0,1050624.0,1024.0,28.85,1.0
2_K_Split_GEMV,K_Split_2048,1,2048,4096,89118.0,2101248.0,1024.0,27.23,1.0
2_K_Split_GEMV,K_Split_4096,1,4096,4096,178403.0,4202496.0,1024.0,0.0,1.0
2_K_Split_GEMV,K_Split_8192,1,8192,4096,467622.0,8404992.0,1024.0,0.0,1.0
3_M_Split_GEMM,M_Split_1,1,4096,4096,178403.0,4202496.0,1024.0,0.0,1.0
3_M_Split_GEMM,M_Split_2,2,4096,4096,177965.0,4210688.0,2048.0,0.0,1.0
3_M_Split_GEMM,M_Split_4,4,4096,4096,179174.0,4227072.0,4096.0,0.0,1.0
3_M_Split_GEMM,M_Split_8,8,4096,4096,178863.0,4259840.0,8192.0,0.0,1.0
3_M_Split_GEMM,M_Split_16,16,4096,4096,181498.0,4325376.0,16384.0,0.0,1.0
3_M_Split_GEMM,M_Split_32,32,4096,4096,185999.0,4456448.0,32768.0,0.0,1.0
3_M_Split_GEMM,M_Split_64,64,4096,4096,195513.0,4718592.0,65536.0,0.0,1.0
3_M_Split_GEMM,M_Split_128,128,4096,4096,216223.0,5242880.0,131072.0,0.0,1.0
3_M_Split_GEMM,M_Split_256,256,4096,4096,259281.0,6291456.0,262144.0,0.0,1.0
3_M_Split_GEMM,M_Split_512,512,4096,4096,348300.0,8388608.0,524288.0,0.0,1.0
3_M_Split_GEMM,M_Split_1024,1024,4096,4096,674943.0,16777216.0,1048576.0,0.0,1.0
3_M_Split_GEMM,M_Split_2048,2048,4096,4096,1317837.0,33554432.0,2097152.0,0.0,1.0
3_M_Split_GEMM,M_Split_4096,4096,4096,4096,2488768.0,67108864.0,4194304.0,0.0,1.0
4_Micro_Kernels,Micro_64x64x64,64,64,64,838.0,2048.0,1024.0,0.0,838.0
4_Micro_Kernels,Micro_64x128x64,64,128,64,986.0,4032.0,1024.0,0.0,986.0
5_Asymmetric_GEMV,Asym_K64_N1024,1,64,1024,1114.0,16576.0,256.0,57.63,593.0
5_Asymmetric_GEMV,Asym_K64_N2048,1,64,2048,1625.0,33024.0,512.0,71.02,583.0
5_Asymmetric_GEMV,Asym_K64_N4096,1,64,4096,2664.0,66048.0,1024.0,82.28,580.0
5_Asymmetric_GEMV,Asym_K64_N8192,1,64,8192,4995.0,132096.0,2048.0,90.51,827.0
5_Asymmetric_GEMV,Asym_K128_N1024,1,128,1024,1383.0,32896.0,256.0,57.27,349.0
5_Asymmetric_GEMV,Asym_K128_N2048,1,128,2048,2685.0,65792.0,512.0,56.05,617.0
5_Asymmetric_GEMV,Asym_K128_N4096,1,128,4096,4704.0,131584.0,1024.0,62.71,568.0
5_Asymmetric_GEMV,Asym_K128_N8192,1,128,8192,9337.0,263168.0,2048.0,62.58,102.0
5_Asymmetric_GEMV,Asym_K256_N1024,1,256,1024,3217.0,65664.0,256.0,46.81,1157.0
5_Asymmetric_GEMV,Asym_K256_N2048,1,256,2048,5895.0,131328.0,512.0,49.79,1775.0
5_Asymmetric_GEMV,Asym_K256_N4096,1,256,4096,11358.0,262656.0,1024.0,51.16,1.0
5_Asymmetric_GEMV,Asym_K256_N8192,1,256,8192,21929.0,525312.0,2048.0,51.16,1.0
6_Large_M_Prefill_Scenarios,Prefill_Like_512x2048x2048,512,2048,2048,92000.0,2097152.0,262144.0,0.0,1.0
